snr_db,drop_index,selected_ssb,subcarrier,raw_power,normalized_power
-2.0,0,3,394,0.9302174057724236,0.9999999999999996
-2.0,0,3,395,0.9305431693205582,1.0000000000000007
-2.0,0,3,396,0.9308771975369562,0.9999999999999996
-2.0,0,3,397,0.9312194506755977,0.9999999999999999
-2.0,0,3,398,0.9315698880117823,1.000000000000001
-2.0,0,3,399,0.9319284678469727,0.9999999999999996
-2.0,0,3,400,0.9322951475137532,0.9999999999999999
-2.0,0,3,401,0.932669883380911,0.9999999999999997
-2.0,0,3,402,0.933052630858625,0.9999999999999999
-2.0,0,3,403,0.9334433444037729,1.0
-2.0,0,3,404,0.9338419775253503,1.0000000000000002
-2.0,0,3,405,0.9342484827900025,0.9999999999999998
-2.0,0,3,406,0.9346628118276676,0.9999999999999998
-2.0,0,3,407,0.9350849153373333,1.0
-2.0,0,3,408,0.9355147430929039,1.0000000000000002
-2.0,0,3,409,0.9359522439491753,0.9999999999999994
-2.0,0,3,410,0.9363973658479188,1.0000000000000004
-2.0,0,3,411,0.9368500558240819,1.0000000000000002
-2.0,0,3,412,0.9373102600120826,1.0000000000000002
-2.0,0,3,413,0.937777923652227,0.9999999999999999
-2.0,0,3,414,0.9382529910972163,1.0
-2.0,0,3,415,0.938735405818777,0.9999999999999997
-2.0,0,3,416,0.939225110414381,0.9999999999999998
-2.0,0,3,417,0.9397220466140784,0.9999999999999996
-2.0,0,3,418,0.9402261552874309,1.0
-2.0,0,3,419,0.9407373764505484,0.9999999999999994
-2.0,0,3,420,0.9412556492732234,1.0000000000000007
-2.0,0,3,421,0.9417809120861748,1.0000000000000009
-2.0,0,3,422,0.9423131023883788,0.9999999999999999
-2.0,0,3,423,0.942852156854513,1.0000000000000007
-2.0,0,3,424,0.9433980113424857,1.0000000000000002
-2.0,0,3,425,0.943950600901072,0.9999999999999999
-2.0,0,3,426,0.94450985977764,0.9999999999999997
-2.0,0,3,427,0.9450757214259762,0.9999999999999998
-2.0,0,3,428,0.9456481185142039,1.0000000000000002
-2.0,0,3,429,0.9462269829327935,0.9999999999999999
-2.0,0,3,430,0.9468122458026673,0.9999999999999999
-2.0,0,3,431,0.9474038374833973,0.9999999999999999
-2.0,0,3,432,0.9480016875814891,1.0000000000000004
-2.0,0,3,433,0.9486057249587608,0.9999999999999996
-2.0,0,3,434,0.949215877740804,0.9999999999999997
-2.0,0,3,435,0.9498320733255396,0.9999999999999998
-2.0,0,3,436,0.9504542383918545,1.0000000000000004
-2.0,0,3,437,0.9510822989083291,0.9999999999999996
-2.0,0,3,438,0.9517161801420414,0.9999999999999998
-2.0,0,3,439,0.952355806667464,1.0000000000000002
-2.0,0,3,440,0.9530011023754377,0.9999999999999999
-2.0,0,3,441,0.9536519904822253,1.0000000000000002
-2.0,0,3,442,0.9543083935386515,1.0000000000000002
-2.0,0,3,443,0.9549702334393172,1.0
-2.0,0,3,444,0.955637431431892,1.0000000000000002
-2.0,0,3,445,0.9563099081264871,1.0
-2.0,0,3,446,0.9569875835051019,0.9999999999999997
-2.0,0,3,447,0.9576703769311424,0.9999999999999997
-2.0,0,3,448,0.9583582071590186,1.0000000000000007
-2.0,0,3,449,0.9590509923438135,0.9999999999999996
-2.0,0,3,450,0.9597486500510158,1.0000000000000007
-2.0,0,3,451,0.9604510972663373,1.0000000000000009
-2.0,0,3,452,0.9611582504055836,0.999999999999999
-2.0,0,3,453,0.9618700253246023,0.9999999999999998
-2.0,0,3,454,0.9625863373292957,1.0000000000000004
-2.0,0,3,455,0.9633071011856997,0.9999999999999998
-2.0,0,3,456,0.9640322311301224,0.9999999999999994
-2.0,0,3,457,0.9647616408793521,0.9999999999999999
-2.0,0,3,458,0.965495243640923,0.9999999999999993
-2.0,0,3,459,0.9662329521234425,0.9999999999999997
-2.0,0,3,460,0.9669746785469785,1.0000000000000002
-2.0,0,3,461,0.967720334653505,1.0
-2.0,0,3,462,0.9684698317174009,1.0000000000000004
-2.0,0,3,463,0.9692230805560117,1.0
-2.0,0,3,464,0.9699799915402574,1.0000000000000002
-2.0,0,3,465,0.9707404746053011,1.0000000000000009
-2.0,0,3,466,0.9715044392612631,0.9999999999999997
-2.0,0,3,467,0.9722717946039885,0.9999999999999999
-2.0,0,3,468,0.9730424493258655,1.0000000000000002
-2.0,0,3,469,0.9738163117266897,0.9999999999999996
-2.0,0,3,470,0.9745932897245727,1.0
-2.0,0,3,471,0.9753732908669047,0.9999999999999998
-2.0,0,3,472,0.9761562223413487,0.9999999999999999
-2.0,0,3,473,0.9769419909868892,0.9999999999999999
-2.0,0,3,474,0.9777305033049148,1.0000000000000007
-2.0,0,3,475,0.9785216654703461,0.9999999999999997
-2.0,0,3,476,0.9793153833427967,1.0000000000000004
-2.0,0,3,477,0.9801115624777768,1.0000000000000002
-2.0,0,3,478,0.9809101081379321,0.9999999999999994
-2.0,0,3,479,0.981710925304314,0.9999999999999998
-2.0,0,3,480,0.982513918687688,1.0000000000000007
-2.0,0,3,481,0.983318992739873,1.0000000000000004
-2.0,0,3,482,0.9841260516651066,0.9999999999999996
-2.0,0,3,483,0.9849349994314478,0.9999999999999999
-2.0,0,3,484,0.985745739782202,1.0000000000000004
-2.0,0,3,485,0.9865581762473751,1.0000000000000007
-2.0,0,3,486,0.987372212155153,1.0000000000000002
-2.0,0,3,487,0.9881877506434023,0.9999999999999999
-2.0,0,3,488,0.9890046946711993,1.0000000000000002
-2.0,0,3,489,0.9898229470303739,1.0000000000000004
-2.0,0,3,490,0.9906424103570787,0.9999999999999998
-2.0,0,3,491,0.9914629871433718,1.0
