snr_db,curve_id,block_errors,blocks,raw_bler,wilson_low,wilson_high,monotone_bler,source_runs
-17.5,CDD-SSB,103,1000,0.103,0.08565481000508716,0.1233836362324436,0.103,outputs/plan-004/run-001/threshold-half-grid
-17.0,CDD-SSB,89,1000,0.089,0.07288824391300744,0.10825735156211885,0.089,outputs/plan-003/run-004/threshold+outputs/plan-004/run-001/threshold-integer-fill
-16.5,CDD-SSB,83,1000,0.083,0.0674550214428993,0.10173649513405367,0.083,outputs/plan-004/run-001/threshold-half-grid
-16.0,CDD-SSB,79,1000,0.079,0.06384721576082919,0.09737491488400823,0.079,outputs/plan-003/run-004/threshold+outputs/plan-004/run-001/threshold-integer-fill
-15.5,CDD-SSB,75,1000,0.075,0.06025180497346737,0.09300093973925448,0.075,outputs/plan-004/run-001/threshold-half-grid
-15.0,CDD-SSB,70,1000,0.07,0.055776364146294055,0.08751464815128335,0.07,outputs/plan-003/run-004/threshold+outputs/plan-004/run-001/threshold-integer-fill
-14.0,CDD-SSB,99,1500,0.066,0.05451122748264681,0.07970601838247074,0.066,outputs/plan-003/run-002/wide_2+outputs/plan-003/run-004/core
-13.0,CDD-SSB,82,1500,0.05466666666666667,0.0442585691503609,0.06734991047774742,0.05466666666666667,outputs/plan-003/run-002/wide_2+outputs/plan-003/run-004/core
-12.0,CDD-SSB,60,1500,0.04,0.03120153051034394,0.05114854575222304,0.04133333333333333,outputs/plan-003/run-002/wide_2+outputs/plan-003/run-004/core
-11.0,CDD-SSB,64,1500,0.042666666666666665,0.03355366749284015,0.054116118472552516,0.04133333333333333,outputs/plan-003/run-001/estimated+outputs/plan-003/run-004/core
-10.5,CDD-SSB,52,1500,0.034666666666666665,0.026533490787242285,0.04517716606967329,0.034666666666666665,outputs/plan-003/run-001/estimated+outputs/plan-004/run-001/tail-balance
-10.0,CDD-SSB,46,1500,0.030666666666666665,0.023069473888211452,0.040661618414465556,0.030666666666666665,outputs/plan-003/run-001/estimated+outputs/plan-003/run-004/core
-9.5,CDD-SSB,44,1500,0.029333333333333333,0.02192298194967161,0.039148255501592566,0.029333333333333333,outputs/plan-003/run-001/estimated+outputs/plan-004/run-001/tail-balance
-9.0,CDD-SSB,38,1500,0.025333333333333333,0.01851196864747831,0.03457970424954731,0.025333333333333333,outputs/plan-003/run-001/estimated+outputs/plan-004/run-001/tail-balance
-8.5,CDD-SSB,34,1500,0.02266666666666667,0.016265302571047073,0.031506660623152855,0.02266666666666667,outputs/plan-003/run-001/estimated+outputs/plan-004/run-001/tail-balance
-8.0,CDD-SSB,82,5000,0.0164,0.013232664150440112,0.020309857170819144,0.0164,outputs/plan-004/run-001/tail-balance+outputs/plan-004/run-001/low-bler-refine
-7.5,CDD-SSB,72,5000,0.0144,0.011450945038477642,0.01809464709056184,0.0144,outputs/plan-004/run-001/tail-balance+outputs/plan-004/run-001/low-bler-refine
-7.0,CDD-SSB,63,5000,0.0126,0.009861112996359368,0.01608724285968232,0.0126,outputs/plan-004/run-001/tail-balance+outputs/plan-004/run-001/low-bler-refine
-6.5,CDD-SSB,52,5000,0.0104,0.007939964636342375,0.013611769108257562,0.0104,outputs/plan-004/run-001/tail-balance+outputs/plan-004/run-001/low-bler-refine
-6.0,CDD-SSB,41,5500,0.007454545454545454,0.005499981985742948,0.010096662551159707,0.007454545454545454,outputs/plan-003/run-002/wide_2+outputs/plan-004/run-001/tail-balance+outputs/plan-004/run-001/low-bler-refine
